sampleID	measurement1	measurement2	measurement3
9-D53	43507096703.29777	29496746468.553608	65783529004.72175
9-D54	18260951105.811985	41187383003.90956	19004565978.34996
9-D57AM	54291035862.54283	61176708091.82076	100158709669.75484
9-D57PM	43595265606.87717	59436004259.099365	65480808037.074326
9-D58AM	79327186796.43239	123661472719.94452	110202692747.68498
9-D58PM	90169261607.30396	188211482267.91666	175440912464.65042
9-D59AM	233469413098.0077	419108034371.44977	517257788554.8112
9-D59PM	37660301256.42767	49081483893.60195	54668725438.72374
9-D6	15905122488.2172	34012866726.79655	31215795076.645775
9-D60AM	25129291236.366646	40207924468.07421	28553968934.58208
9-D60PM	51081856131.02402	70308806930.14221	72828511293.51366
9-D61	19593574400.745785	36556826497.27743	14135261662.83297
9-D62	61308994550.39645	72297899161.64317	81595279033.86653
9-D63	78681462015.3667	130023486107.79892	133458183204.8474
9-D64AM	117222857932.2446	106131302702.25932	123916245213.55493
9-D64PM	74201356754.30878	141438695999.35675	71974468747.65947
9-D7	64644365068.27256	115208660497.47964	53596686887.421616
9-D8	44197812061.081406	94556379048.02223	93106055855.15204
9-D9	108596993343.1154	124797859755.00047	137879692263.36206
